"Gardiner Lesson 26","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","W4( 0, 15) - S29( 825, 15) - D46( 1125, 0) - N20( 1110, 480) - O23( 2025, 90) ","W4 - S29 - D46 - N20 - O23 ","Hb-sd","jubilee, sed-festival","G26v"
"L","E","X1( 0, 270) - M17( 540, 0) - X1( 930, 0) - D17( 810, 255) ","X1 - M17 - X1 - D17 ","tit","figure, image","G26v"
"L","E","E9( 75, 0) - D36( 0, 450) - X1( 1005, 15) - F44( 885, 285) ","E9 - D36 - X1 - F44 ","iwat","heritage, inheritance","G26v"
"L","E","V5( 0, 0) - X1( 525, 30) - X1( 525, 510) - N23( 1035, 240) ","V5 - X1 - X1 - N23 ","sntt","foundation","G26v"
"L","E","D2( 240, 15) - D21( 0, 525) - D1( 945, 0) - Z1( 1065, 465) ","D2 - D21 - D1 - Z1 ","Hry-tp","chief, chieftain","G26v"
"L","E","G40( 0, 60) - G1( 945, 0) - X1( 1785, 0) - X6( 1770, 255) ","G40 - G1 - X1 - X6 ","pAt","offering, kind of loaf","G26v"
"L","E","F13( 0, 0) - Q3( 210, 630) - X1( 915, 60) - Y2( 660, 675) ","F13 - Q3 - X1 - Y2 ","wpwt - ipt","business, mission","G26v"
"L","E","G36( 30, 0) - D21( 0, 570) - D46( 915, 285) - A7( 1785, 60) - G37( 2505, 285) ","G36 - D21 - D46 - A7 - G37 ","wrD","be weary","G26v"
"L","E","M17( 0, 90) - U1( 285, 90) - F39A( 1200, 0) - J1( 1200, 495) - M17( 2010, 75) - M17( 2280, 90) ","M17 - U1 - F39A - J1 - M17 - M17 ","imAxy","revered, honoured","G26v"
"L","E","D36( 0, 0) - D21( 0, 360) - I9( 105, 645) - V33( 960, 225) ","D36 - D21 - I9 - V33 ","arf","pack, envelop, enclose","G26v"
"L","E","V13( 0, 270) - D58( 930, 0) - X1( 1455, 270) - S33( 1965, 15) ","V13 - D58 - X1 - S33 ","Tbt","sandal, sole (of feet)","G26v"
"L","E","M17( 0, 0) - N37( 270, 15) - X1( 480, 480) - Y1( 1215, 30) - Z2( 1320, 420) ","M17 - N37 - X1 - Y1 - Z2 ","iSt","property, belongings","G26v"
"L","E","N29( 240, 0) - N35( 0, 585) - A24( 945, 15) ","N29 - N35 - A24 ","qni","be brave","G26v (adjective and verb)"
"L","E","D45( 15, 0) - D21( 0, 495) - Y1V( 915, 15) ","D45 - D21 - Y1V ","Dsr","set apart, be set apart, private, adj. holy","G26v (adjective)"
"L","E","W24( 60, 0) - X1( 480, 90) - N1( 0, 390) ","W24 - X1 - N1 ","nwt","Nut, the sky - goddess","G26v (divinity)"
"L","E","F30( 0, 0) - D46( 0, 450) - A2( 945, 0) ","F30 - D46 - A2 ","Sdi","read aloud, recite","G26v (verb)"
"L","E","X1( 165, 15) - N37( 0, 630) - Z9( 1080, 0) - D54( 945, 420) ","X1 - N37 - Z9 - D54 ","tSi","be missing, absent oneself, r from","G26v (verb)"
"L","E","V7( 225, 0) - N35( 0, 570) - Z8( 900, 255) ","V7 - N35 - Z8 ","Sni","surround, encircle","G26v (verb)"
"L","E","V7( 225, 0) - N35( 0, 690) - V1( 960, 150) ","V7 - N35 - V1 ","Sni","surround, encircle","G26v (verb)"
