"Gardiner Lessons 2 to 33","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","M12( 0, 0) - G1( 435, 15) - O27( 1155, 105) ","M12 - G1 - O27 ","xA","office, hall, diwan","G03v"
"L","E","D21( 0, 0) - Z1( 345, 315) ","D21 - Z1 ","r","mouth, utterance","G03v"
"L","E","G29( 0, 0) - V31( 780, 15) - X1( 990, 435) - B1( 1560, 0) ","G29 - V31 - X1 - B1 ","bAkt","maid-servant","G03v"
"L","E","M17( 0, 30) - X1( 450, 90) - I9( 315, 405) - A1( 945, 0) ","M17 - X1 - I9 - A1 ","it","father","G03v"
"L","E","D2( 0, 0) - Z1( 135, 540) ","D2 - Z1 ","Hr","face, sight","G03v"
"L","E","G39( 0, 0) - X1( 930, 15) - B1( 1440, 0) ","G39 - X1 - B1 ","sAt","daughter","G03v"
"L","E","O34( 600, 0) - G17( 0, 180) - V28( 945, 195) - I3( 1215, 720) ","O34 - G17 - V28 - I3 ","msH","crocodile","G03v"
"L","E","O29( 0, 30) - D52( 15, 405) - E7( 945, 0) ","O29 - D52 - E7 ","aA","ass, donkey","G03v"
"L","E","S29( 0, 0) - N37( 255, 0) - X1( 270, 510) - U30( 735, 285) - G1( 1260, 15) - Y1V( 2085, 30) ","S29 - N37 - X1 - U30 - G1 - Y1V ","SstA","secret","G03v (adjective)"
"L","E","U2( 0, 0) - D4( 45, 540) - G1( 900, 0) - G1( 1725, 15) ","U2 - D4 - G1 - G1 ","mAA","see","G03v (intransitive)"
"L","E","D2( 0, 0) - Z1( 120, 435) ","D2 - Z1 ","Hr","upon,concerning, because of, before suffixes written Hr:r","G03v (prepostion with suffixes)"
"L","E","U28( 0, 0) - G1( 360, 0) - P1( 960, 120) ","U28 - G1 - P1 ","DAi","cross, ferry across","G03v (verb)"
"L","E","N35A( 0, 0) ","N35A ","mw","water","G04v"
"L","E","M17( 0, 0) - N29( 540, 30) - D21( 270, 525) - Y1V( 1230, 30) ","M17 - N29 - D21 - Y1V ","iqr","excellent","G04v"
"L","E","W19( 0, 0) - X1( 495, 15) - X1( 510, 510) - Y1V( 1035, 15) ","W19 - X1 - X1 - Y1V ","mitt","likeness, m mitt likewise","G04v"
"L","E","P6( 0, 105) - D36( 300, 0) - D54( 420, 345) ","P6 - D36 - D54 ","aHa","stand up, arise","G04v"
"L","E","M17( 0, 0) - U33( 300, 0) - M17( 600, 0) - M17( 900, 15) - A23( 1185, 15) ","M17 - U33 - M17 - M17 - A23 ","ity","sovereign, monarch","G04v"
"L","E","N28( 120, 0) - D36( 0, 465) - Y1V( 930, 30) ","N28 - D36 - Y1V ","xai","appear, shine (of sun, gods or king)","G04v"
"L","E","I1( 0, 0) - Z2( 60, 645) ","I1 - Z2 ","aSA","plentiful, rich, many","G04v"
"L","E","S34( 0, 0) - N35( 420, 45) - J1( 615, 300) ","S34 - N35 - J1 ","anx","live, life","G04v"
"L","E","F34( 0, 0) - Z1( 120, 375) ","F34 - Z1 ","ib","heart, wish","G04v"
"L","E","O29( 15, 0) - D36( 0, 405) - G1( 945, 15) - Y1V( 1755, 30) ","O29 - D36 - G1 - Y1V ","aA","great, large","G04v"
"L","E","X8( 0, 0) ","X8 ","rdi","give, place","G04v"
"L","E","D21( 0, 0) - X8( 225, 255) ","D21 - X8 ","rdi","give, place","G04v"
"L","E","F35( 0, 0) - I9( 330, 15) - D21( 240, 525) ","F35 - I9 - D21 ","nfr","good, beautiful, happy","G04v"
"L","E","V30( 0, 0) ","V30 ","nb","any, every, all","G04v"
"L","E","V30( 0, 0) - A1( 90, 255) ","V30 - A1 ","nb","lord, master","G04v"
"L","E","R4( 0, 0) - X1( 15, 420) - Q3( 585, 375) ","R4 - X1 - Q3 ","Htp","rest, go to rest, become at peace, set (of sun), peace (noun)","G04v"
"L","E","N26( 0, 225) - G43( 930, 0) - G37( 1575, 120) ","N26 - G43 - G37 ","Dw","evil, sad","G04v"
"L","E","D21( 30, 0) - D37( 0, 360) ","D21 - D37 ","rdi","give, place","G04v"
"L","E","D58( 0, 0) - M17( 525, 15) - N35( 780, 15) - G37( 795, 210) ","D58 - M17 - N35 - G37 ","bin","bad, miserable","G04v (adjective)"
"L","E","S29( 0, 0) - M12( 285, 15) - G1( 690, 30) - A2( 1500, 30) ","S29 - M12 - G1 - A2 ","sxi","remember","G04v (causative)"
"L","E","H6( 0, 0) - G43( 285, 15) - G37( 930, 225) ","H6 - G43 - G37 ","Sw","empty, free (with m of, from)","G04v (noun)"
"L","E","F32( 105, 0) - D21( 15, 210) - D46( 0, 450) - A17( 885, 75) ","F32 - D21 - D46 - A17 ","Xrd","child","G04v (noun)"
"L","E","W19( 0, 0) - M17( 345, 0) ","W19 - M17 ","mi","like","G04v (preposition)"
"L","E","N42( 15, 0) - X1( 0, 525) - B1( 570, 0) ","N42 - X1 - B1 ","Hmt","woman, wife","G05v"
"L","E","G27( 0, 75) - D21( 930, 0) - X1( 1170, 240) - N25( 960, 495) ","G27 - D21 - X1 - N25 ","dSrt","the Red Land, i.e. the Desert","G05v"
"L","E","T22( 0, 0) - N35( 330, 30) - X1( 525, 435) - B1( 1125, 0) ","T22 - N35 - X1 - B1 ","snt","sister","G05v"
"L","E","U36( 0, 0) - Z1( 285, 270) - A1( 510, 15) ","U36 - Z1 - A1 ","Hm","(male) slave","G05v"
"L","E","D60( 0, 0) - N35A( 645, 0) ","D60 - N35A ","wab","be pure, clean, det. A1 (ordinary) priest","G05v"
"L","E","F13( 0, 0) - Q3( 30, 780) - Z9( 330, 690) ","F13 - Q3 - Z9 ","wp","open","G05v"
"L","E","V28( 0, 15) - M16( 405, 30) - G1( 840, 30) - M17( 1515, 15) - M17( 1830, 0) - S28( 2115, 0) ","V28 - M16 - G1 - M17 - M17 - S28 ","HAy","naked","G05v"
"L","E","Y5( 15, 120) - N35( 0, 540) - J1( 1035, 0) - U22( 990, 420) - Y1V( 1530, 75) ","Y5 - N35 - J1 - U22 - Y1V ","mnx","efficient, beneficient, excellent","G05v"
"L","E","V13( 0, 30) - O34( 0, 510) - G17( 930, 0) - E14( 1845, 90) ","V13 - O34 - G17 - E14 ","Tsm","hound, dog","G05v"
"L","E","R8( 0, 0) - Z1( 390, 180) ","R8 - Z1 ","nTr","god","G05v"
"L","E","N40( 0, 90) - G17( 915, 0) - D54( 1845, 105) ","N40 - G17 - D54 ","Sm","go, walk","G05v"
"L","E","V28( 0, 0) - D58( 240, 0) - S29( 705, 30) - S28( 930, 15) ","V28 - D58 - S29 - S28 ","Hbs","clothes, clothing","G05v"
"L","E","U36( 0, 0) - X1( 270, 45) - Z1( 375, 405) - B1( 750, 0) ","U36 - X1 - Z1 - B1 ","Hmt","female slave","G05v"
"L","E","T22( 360, 0) - N35( 0, 765) - A1( 915, 165) ","T22 - N35 - A1 ","sn","brother","G05v"
"L","E","W25( 225, 0) - N35( 0, 810) ","W25 - N35 ","ini","bring, fetch, remove","G05v"
"L","E","X1( 0, 360) - X2( 525, 0) - Z8( 45, 660) "," X1 - X2 - Z8 ","t","bread","G05v"
"L","E","V28( 0, 0) - N29( 285, 15) - X1( 285, 525) - W22( 750, 120) ","V28 - N29 - X1 - W22 ","Hnqt","beer","G05v"
"L","E","M17( 0, 15) - D58( 285, 0) - E8( 765, 105) - N35A( 1680, 15) - A2( 2610, 15) ","M17 - D58 - E8 - N35A - A2 ","ib","thirst (vb.), thirsty","G05v"
"L","E","J17( 0, 0) - Z1( 345, 525) ","J17 - Z1 ","sA","back, m-sA at the back of following after","G05v"
"L","E","D36( 0, 0) - Z1( 390, 375) ","D36 - Z1 ","a","arm, hand","G05v"
"L","E","M23( 0, 0) - X1( 735, 15) - N35( 510, 585) - A40( 1365, 0) ","M23 - X1 - N35 - A40 ","nsw","king of Upper Egypt, King","G05v"
"L","E","J18( 0, 0) - Z1( 225, 795) ","J18 - Z1 ","sA","back","G05v"
"L","E","I6( 0, 180) - G17( 810, 0) - X1( 1785, 15) - O49( 1770, 330) ","I6 - G17 - X1 - O49 ","kmt","the Black Land, i.e. Egypt","G05v (locality)"
"L","E","F26( 0, 0) - N35( 0, 735) - W24( 945, 300) - G43( 1335, 120) - O1( 1950, 285) ","F26 - N35 - W24 - G43 - O1 ","Xnw","interior, the (royal) Residence","G05v (noun)"
"L","E","G43( 0, 0) - N37( 600, 15) - D58( 1515, 45) - Z9( 2025, 270) - A2( 2520, 45) ","G43 - N37 - D58 - Z9 - A2 ","wSb","answer (n to person)","G05v (verb and noun)"
"L","E","G28( 0, 240) - G17( 780, 0) ","G28 - G17 ","gm","find","G05v (verb)"
"L","E","V28( 0, 30) - N29( 495, 45) - D21( 255, 495) - A2( 1110, 0) ","V28 - N29 - D21 - A2 ","Hqr","hungry (vb. and n.), hungry","G05v (verb)"
"L","E","R14( 0, 0) - X1( 405, 0) - Z4( 405, 315) ","R14 - X1 - Z4 ","imnty","western","G06v"
"L","E","F22( 60, 0) - D54( 0, 450) ","F22 - D54 ","pH","reach, attack","G06v"
"L","E","U23( 0, 135) - G17( 285, 0) - D21( 270, 765) - O24( 1230, 150) ","U23 - G17 - D21 - O24 ","mr","pyramid","G06v"
"L","E","M16( 0, 0) - G1( 390, 15) - N29( 990, 60) - A24( 1365, 30) ","M16 - G1 - N29 - A24 ","HAq","capture, take as plunder","G06v"
"L","E","Y5( 135, 0) - W24( 0, 300) - W24( 405, 285) - W24( 810, 285) ","Y5 - W24 - W24 - W24 ","mnw","monument","G06v"
"L","E","M17( 0, 60) - D21( 300, 150) - X1( 270, 540) - X1( 765, 510) - W20( 1290, 0) - Z2( 1110, 735) ","M17 - D21 - X1 - X1 - W20 - Z2 ","irTt","milk","G06v"
"L","E","N25( 0, 0) - X1( 90, 420) - Z1( 570, 345) ","N25 - X1 - Z1 ","xAst","hill-country, (foreign) country","G06v"
"L","E","G36( 0, 0) - D21( 0, 540) ","G36 - D21 ","wrr","great, important, much","G06v"
"L","E","O1( 120, 0) - D21( 0, 420) - D54( 915, 105) ","O1 - D21 - D54 ","pr","go forth, go up","G06v"
"L","E","D21( 0, 45) - D46( 0, 405) - D56( 945, 0) ","D21 - D46 - D56 ","rd","foot","G06v"
"L","E","G21( 0, 0) - V28( 585, 0) - V28( 900, 0) - N5( 1215, 105) ","G21 - V28 - V28 - N5 ","nHH","eternity","G06v"
"L","E","R15( 0, 0) - D58( 405, 15) - X1( 885, 60) - Z4( 885, 360) ","R15 - D58 - X1 - Z4 ","iAbty","eastern","G06v"
"L","E","D4( 0, 0) ","D4 ","ir","make, do","G06v"
"L","E","Y5( 0, 60) - N35( 15, 525) - Y5( 945, 60) - N35( 945, 540) - X1( 1905, 315) - E1( 2430, 0) - Z2( 2520, 540) ","Y5 - N35 - Y5 - N35 - X1 - E1 - Z2 ","mnmnt","cattle","G06v"
"L","E","X1( 45, 0) - U30( 0, 300) - G1( 540, 0) - N37( 1305, 15) - Z9( 1320, 345) - N23( 1800, 480) ","X1 - U30 - G1 - N37 - Z9 - N23 ","tAS","boundary","G06v"
"L","E","F32( 60, 0) - X1( 0, 360) - Z1( 555, 270) ","F32 - X1 - Z1 ","Xt","body","G06v"
"L","E","U10( 0, 0) - Z2( 105, 705) "," U10 - Z2 ","it","barley, corn","G06v"
"L","E","D46( 0, 210) - D58( 915, 0) - V28( 1425, 15) - F18( 1695, 225) - A2( 2625, 15) ","D46 - D58 - V28 - F18 - A2 ","dbH","ask for, beg","G06v"
"L","E","D21( 15, 15) - V13( 0, 510) - A1( 960, 0) ","D21 - V13 - A1 ","rmT","man","G06v"
"L","E","D21( 0, 75) - V13( 30, 780) - A1( 1035, 0) - B1( 1695, 30) - Z2( 1200, 765) ","D21 - V13 - A1 - B1 - Z2 ","rmT","people","G06v (collective noun)"
"L","E","V31( 0, 195) - G1( 870, 0) - N37( 1650, 0) - N25( 1680, 450) ","V31 - G1 - N37 - N25 ","kAS","Ethiopia, the Cush of the Bible (f.)","G06v (locality)"
"L","E","T28( 105, 0) - D21( 0, 615) ","T28 - D21 ","Xr","under, carrying, holding (preposition)","G06v (preposition)"
"L","E","V22( 30, 0) - Y1( 0, 510) ","V22 - Y1 ","mH","fill (m with)","G06v (verb  transitive)"
"L","E","U7( 30, 30) - D21( 0, 465) - A2( 960, 0) ","U7 - D21 - A2 ","mr","love, want, wish, desire","G06v (verb)"
"L","E","M17( 0, 120) - M40( 300, 105) - S29( 615, 120) - I9( 900, 0) - X1( 1020, 255) - G37( 915, 495) ","M17 - M40 - S29 - I9 - X1 - G37 ","isft","evil, wrong-doing","G07v"
"L","E","J1( 255, 30) - D21( 0, 450) - P8( 855, 15) - G43( 1140, 15) - A2( 1770, 0) ","J1 - D21 - P8 - G43 - A2 ","xrw","voice, sound","G07v"
"L","E","G43( 0, 0) - S29( 675, 15) - V13( 975, 30) - N35( 975, 600) - D54( 1890, 180) ","G43 - S29 - V13 - N35 - D54 ","wsTn","stride","G07v"
"L","E","R14( 0, 0) - X1( 585, 45) - N25( 345, 390) ","R14 - X1 - N25 ","imnt","the West","G07v"
"L","E","O42( 0, 0) - Q3( 300, 480) - A24( 975, 0) ","O42 - Q3 - A24 ","Ssp","take, receive","G07v"
"L","E","V24( 0, 60) - V28( 330, 30) - G43( 735, 45) - R3Q( 1365, 0) ","V24 - V28 - G43 - R3Q ","wDHw","table of offerings","G07v"
"L","E","N35( 0, 0) - M3( 0, 165) - J1( 0, 450) - X1( 450, 600) - A24( 975, 90) ","N35 - M3 - J1 - X1 - A24 ","nxt","be mighty, victorious, mighty (adj.)","G07v"
"L","E","Q1( 0, 0) - X1( 645, 0) - O1( 540, 360) ","Q1 - X1 - O1 ","st","place","G07v"
"L","E","S29( 0, 0) - M12( 300, 0) - G1( 705, 0) - G43( 1530, 15) - A2( 2175, 15) ","S29 - M12 - G1 - G43 - A2 ","sxAw","remembrance, memory","G07v"
"L","E","N14( 0, 45) - X1( 600, 0) - O1( 525, 240) ","N14 - X1 - O1 ","dwAt","netherworld","G07v"
"L","E","N26( 0, 0) - Z1( 345, 375) ","N26 - Z1 ","Dw","mountain","G07v"
"L","E","G14( 0, 15) - X1( 795, 0) - B1( 1290, 0) ","G14 - X1 - B1 ","mwt","mother","G07v"
"L","E","F40( 0, 150) - G43( 930, 75) - X1( 1770, 0) - N18( 1560, 255) - Z2( 1665, 510) ","F40 - G43 - X1 - N18 - Z2 ","Awt","oblations, offerings","G07v"
"L","E","N37( 0, 240) - D58( 915, 15) - G43( 1410, 15) - Z8( 2040, 0) - Z2( 2175, 420) ","N37 - D58 - G43 - Z8 - Z2 ","Sbw","food","G07v"
"L","E","I10( 405, 0) - X1( 240, 360) - N17( 0, 600) ","I10 - X1 - N17 ","Dt","eternity, everlasting","G07v"
"L","E","G35( 0, 120) - N29( 1035, 0) - D54( 900, 345) ","G35 - N29 - D54 ","aq","enter","G07v"
"L","E","S29( 0, 0) - D58( 270, 0) - N14( 750, 165) - G1( 1245, 15) - O32( 2070, 15) ","S29 - D58 - N14 - G1 - O32 ","sbA","door","G07v"
"L","E","F31( 0, 0) - S29( 555, 15) - A17( 870, 15) ","F31 - S29 - A17 ","ms","child","G07v"
"L","E","U2( 15, 0) - J11( 0, 555) - D36( 930, 45) - Y1( 915, 495) ","U2 - J11 - D36 - Y1 ","mAa","true, real, just","G07v (adjective and verb)"
"L","E","V28( 60, 0) - W14( 585, 15) - O34( 0, 765) - X1( 885, 330) - A2( 1410, 90) ","V28 - W14 - O34 - X1 - A2 ","Hst","favour, praise","G07v (noun)"
"L","E","J1( 225, 0) - D21( 0, 495) ","J1 - D21 ","xr","with, before, (speak) to","G07v (preposition)"
"L","E","O34( 45, 0) - N35( 0, 525) - S29( 945, 0) - A30( 1245, 0) ","O34 - N35 - S29 - A30 ","snsy","worship","G07v (verb)"
"L","E","S29( 0, 0) - X1( 225, 255) - F29( 720, 15) - A24( 1620, 15) ","S29 - X1 - F29 - A24 ","sti","shoot, throw, pour","G07v (verb)"
"L","E","N14( 0, 75) - A30( 660, 0) ","N14 - A30 ","dwA","adore (in the morning)","G07v (verb)"
"L","E","M4( 0, 0) - X1( 375, 75) - Z1( 495, 360) ","M4 - X1 - Z1 ","rnpt","year","G08v"
"L","E","U1( 0, 30) - G1( 945, 30) - D21( 1695, 0) - T12( 1785, 240) - G37( 2580, 165) ","U1 - G1 - D21 - T12 - G37 ","mAr","wretched","G08v"
"L","E","T3( 0, 15) - I10( 360, 0) - N5( 345, 285) ","T3 - I10 - N5 ","HD","be white, bright, white (adj.)","G08v"
"L","E","D1( 0, 0) - Z1( 165, 510) ","D1 - Z1 ","tp","upon","G08v"
"L","E","D21( 0, 0) - V31( 15, 405) - N5( 930, 75) ","D21 - V31 - N5 ","rk","time, period","G08v"
"L","E","G30( 0, 30) - Y1( 870, 0) - Z2( 885, 285) ","G30 - Y1 - Z2 ","bAw","might (plur.)","G08v"
"L","E","O34( 0, 0) - Q3( 0, 450) - O50( 480, 255) ","O34 - Q3 - O50 ","sp","occasion, time, deed, fault","G08v"
"L","E","F4( 15, 0) - D36( 0, 570) "," F4 - D36 ","HAty  a","chieftain, local prince, mayor","G08v"
"L","E","V7( 240, 30) - W24( 720, 195) - N35( 0, 555) - G43( 1095, 0) - X1( 1740, 30) - O51( 1965, 240) ","V7 - W24 - N35 - G43 - X1 - O51 ","Snwt","granary","G08v"
"L","E","J28( 0, 0) - D46( 270, 0) - W24( 540, 390) - Y1V( 1215, 0) ","J28 - D46 - W24 - Y1V ","qd","form, character, good character, virtue","G08v"
"L","E","M36( 120, 0) - D21( 0, 525) - N31( 855, 195) ","M36 - D21 - N31 ","Dr","end, limit","G08v"
"L","E","J28( 0, 15) - D46( 270, 15) - W24( 540, 435) - A35( 1200, 0) ","J28 - D46 - W24 - A35 ","qd","build","G08v"
"L","E","G17( 0, 45) - D36( 930, 225) - O4( 1875, 0) - Z4( 1890, 510) - G37( 2430, 135) ","G17 - D36 - O4 - Z4 - G37 ","mhy","be neglectful, careless","G08v"
"L","E","U36( 0, 0) - Z1( 315, 180) ","U36 - Z1 ","Hm","Majesty (with suffixes or genitival adj.)","G08v"
"L","E","U36( 0, 0) - Z1( 315, 240) - A40( 540, 30) ","U36 - Z1 - A40 ","Hm","Majesty","G08v"
"L","E","L2( 0, 15) - X1( 900, 135) - A40( 1395, 0) "," L2 - X1 - A40 ","bity","king of Lower Egypt","G08v"
"L","E","J27( 0, 0) - W24( 390, 375) - J27( 810, 0) - W24( 1155, 405) - A2( 1575, 0) ","J27 - W24 - J27 - W24 - A2 ","nDnD","converse, take counsel","G08v"
"L","E","S29( 0, 15) - D21( 255, 270) - A21( 1185, 0) ","S29 - D21 - A21 ","sr","official, noble","G08v"
"L","E","O4( 0, 135) - G1( 510, 0) - G43( 1305, 0) - Y1( 1935, 15) - Z2( 2070, 360) ","O4 - G1 - G43 - Y1 - Z2 ","hAw","environment, neighbourhood, time","G08v"
"L","E","D58( 0, 15) - M17( 525, 15) - X1( 1020, 0) - F18( 795, 480) - A2( 1740, 0) ","D58 - M17 - X1 - F18 - A2 ","bit","qualities, talent","G08v"
"L","E","M36( 135, 0) - D21( 0, 600) ","M36 - D21 ","Dr","since","G08v (preposition)"
"L","E","M17( 0, 0) - M40( 285, 15) - O34( 540, 30) - O1( 660, 375) ","M17 - M40 - O34 - O1 ","is","tomb, tomb-chamber","G09v"
"L","E","D2( 195, 0) - D21( 0, 525) - M17( 945, 15) - M17( 1245, 15) - X1( 1515, 15) - J19( 1500, 285) - D40( 2025, 30) - Z2( 2130, 450) ","D2 - D21 - M17 - M17 - X1 - J19 - D40 - Z2 ","Hryt","apprehension, dread","G09v"
"L","E","M29( 0, 0) - G17( 255, 15) - Y1V( 1125, 15) ","M29 - G17 - Y1V ","nDm","be sweet, agreeable, adj. sweet, agreeable, n. sweetness","G09v"
"L","E","S14( 0, 0) - N33A( 975, 315) ","S14 - N33A ","HD","silver, money","G09v"
"L","E","E9( 0, 135) - G43( 930, 0) - N35( 1575, 15) - N35( 1560, 615) - O1( 2415, 210) ","E9 - G43 - N35 - N35 - O1 ","iwnn","sanctuary","G09v"
"L","E","S38( 0, 0) - N29( 270, 180) - A40( 705, 0) ","S38 - N29 - A40 ","HqA","ruler, chieftain","G09v"
"L","E","J27( 0, 45) - W24( 390, 435) - X1( 825, 30) - Z4( 1335, 0) - D40( 870, 345) ","J27 - W24 - X1 - Z4 - D40 ","nDty","helper, avenger","G09v"
"L","E","G1( 0, 75) - X1( 960, 0) - F9( 825, 270) ","G1 - X1 - F9 ","At","moment","G09v"
"L","E","S12( 0, 0) - N33A( 15, 540) ","S12 - N33A ","nbw","gold","G09v"
"L","E","V28( 0, 0) - D36( 300, 30) - F51( 570, 345) ","V28 - D36 - F51 ","Ha","piece of flesh. plur. flesh, body","G09v"
"L","E","M1( 0, 0) - G17( 405, 15) - X1( 1230, 255) - Y1( 1590, 45) - Z2( 1695, 420) ","M1 - G17 - X1 - Y1 - Z2 ","imAt","charm, favour","G09v"
"L","E","V7( 270, 15) - N35( 0, 600) - D58( 915, 0) - X1( 1620, 0) - G11( 1425, 270) ","V7 - N35 - D58 - X1 - G11 ","Snbt","breast","G09v"
"L","E","V17( 0, 0) - Z1( 420, 180) ","V17 - Z1 ","sA","amulet, magic knot, protection","G09v"
"L","E","S29( 0, 30) - J1( 585, 0) - N35( 375, 360) - X1( 570, 540) - O30( 1245, 75) ","S29 - J1 - N35 - X1 - O30 ","sxnt","supporting pole, support","G09v"
"L","E","S29( 0, 15) - Y5( 345, 0) - N35( 345, 300) - Y1( 330, 465) ","S29 - Y5 - N35 - Y1 ","smn","make firm, establish","G09v (causative)"
"L","E","P5( 0, 0) - G43( 645, 30) ","P5 - G43 ","TAw","wind, breath","G09v (noun)"
"L","E","I9( 135, 0) - N35( 15, 285) - D46( 0, 465) - D19( 990, 150) ","I9 - N35 - D46 - D19 ","fnD","nose","G09v (noun)"
"L","E","U7( 0, 30) - D21( 0, 450) - G43( 945, 0) - X1( 1590, 15) - A2( 2100, 15) ","U7 - D21 - G43 - X1 - A2 ","mrwt","love","G09v (noun)"
"L","E","L1( 225, 0) - D21( 0, 840) ","L1 - D21 ","xpr","become, happen","G09v (verb intransitive)"
"L","E","W9( 0, 60) - G17( 360, 0) "," W9 - G17 ","Xnm","join, endue (m with)","G09v (verb transitive)"
"L","E","D58( 0, 0) - M17( 540, 0) - G1( 810, 30) - U16( 1635, 120) - Y1V( 2580, 15) ","D58 - M17 - G1 - U16 - Y1V ","biAi","marvel (n at)","G09v (verb)"
"L","E","G54( 0, 90) - A2( 795, 0) ","G54 - A2 ","snD","fear","G09v (verb)"
"L","E","E9( 0, 225) - G43( 765, 0) - G37( 1335, 150) ","E9 - G43 - G37 ","iw","wrong, crime","G10v"
